TABLE=077 | AREA=Xã Tân Quan
--- SEQUENCE=7 | SECTION=non-agricultural | PAGES=5203-5279 | LINES=2931 ---
P=5210 | X=0090.100-0170.690 | Y=0100.010-0113.970 | Đường ĐH 12
P=5210 | X=0090.100-0149.370 | Y=0114.010-0127.970 | Hết tuyến
P=5210 | X=0090.100-0124.430 | Y=0128.010-0141.970 | 1.100
P=5210 | X=0090.100-0113.000 | Y=0142.010-0155.970 | 790
P=5210 | X=0090.100-0113.000 | Y=0156.010-0169.970 | 680
P=5210 | X=0090.100-0113.000 | Y=0184.010-0197.970 | 143
P=5210 | X=0090.100-0165.960 | Y=0198.010-0211.970 | Đường số 25
P=5210 | X=0090.100-0197.810 | Y=0212.010-0225.970 | Đường Quốc lộ 13
P=5210 | X=0090.100-0461.490 | Y=0226.010-0239.970 | Ngã ba đường số 26 hết ranh thửa đất số 3122 tờ bản đồ số 2
P=5210 | X=0090.100-0124.430 | Y=0240.010-0253.970 | 1.400
P=5210 | X=0090.100-0113.000 | Y=0254.010-0267.970 | 980
P=5210 | X=0090.100-0113.000 | Y=0268.010-0281.970 | 840
P=5210 | X=0090.100-0113.000 | Y=0296.010-0309.970 | 144
P=5210 | X=0090.100-0165.960 | Y=0310.010-0323.970 | Đường số 25
P=5210 | X=0090.100-0461.490 | Y=0324.010-0337.970 | Ngã ba đường số 26 hết ranh thửa đất số 3122 tờ bản đồ số 2
P=5210 | X=0090.100-0149.370 | Y=0338.010-0351.970 | Hết tuyến
P=5210 | X=0090.100-0124.430 | Y=0352.010-0365.970 | 1.200
P=5210 | X=0090.100-0113.000 | Y=0366.010-0379.970 | 870
P=5210 | X=0090.100-0113.000 | Y=0380.010-0393.970 | 740
P=5210 | X=0090.100-0113.000 | Y=0408.010-0421.970 | 145
P=5210 | X=0090.100-0165.960 | Y=0422.010-0435.970 | Đường số 26
P=5210 | X=0090.100-0165.960 | Y=0436.010-0449.970 | Đường số 25
P=5210 | X=0090.100-0220.580 | Y=0450.010-0463.970 | Ranh giới xã Tân Khai
P=5210 | X=0090.100-0124.430 | Y=0464.010-0477.970 | 1.200
P=5210 | X=0090.100-0113.000 | Y=0478.010-0491.970 | 870
P=5210 | X=0090.100-0113.000 | Y=0492.010-0505.970 | 740
P=5210 | X=0090.100-0113.000 | Y=0520.010-0533.970 | 146
P=5210 | X=0090.100-0165.960 | Y=0534.010-0547.970 | Đường số 27
