TABLE=049 | AREA=Xã Tà Lài
--- SEQUENCE=11 | SECTION=agricultural | PAGES=5977-5985 | LINES=251 ---
P=5981 | X=0090.100-0154.580 | Y=0632.010-0645.970 | Quốc lộ 20
P=5981 | X=0090.100-0232.660 | Y=0646.010-0659.970 | Đường số 3 ấp Thọ Lâm
P=5981 | X=0090.100-0193.130 | Y=0688.010-0701.970 | Đường Đồng Dâu
P=5981 | X=0090.100-0154.580 | Y=0702.010-0715.970 | Quốc lộ 20
P=5982 | X=0090.100-0184.450 | Y=0072.010-0085.970 | Hết nghĩa trang
P=5982 | X=0090.100-0193.130 | Y=0114.010-0127.970 | Đường Đồng Dâu
P=5982 | X=0090.100-0160.930 | Y=0128.010-0141.970 | Nghĩa trang
P=5982 | X=0090.100-0510.700 | Y=0142.010-0155.970 | Hết ranh thửa đất số 29 tờ BĐĐC số 179 về bên phải và hết ranh thửa
P=5982 | X=0090.100-0317.680 | Y=0156.010-0169.970 | đất số 23, tờ BĐĐC số 179 về bên trái
P=5982 | X=0090.100-0213.910 | Y=0198.010-0211.970 | Đường số 3 Thọ Lâm
P=5982 | X=0090.100-0193.130 | Y=0212.010-0225.970 | Đường Đồng Dâu
P=5982 | X=0090.100-0179.580 | Y=0226.010-0239.970 | Đường Km 130
P=5982 | X=0090.100-0213.910 | Y=0268.010-0281.970 | Đường số 1 Thọ Lâm
P=5982 | X=0090.100-0154.580 | Y=0282.010-0295.970 | Quốc lộ 20
P=5982 | X=0090.100-0226.320 | Y=0296.010-0309.970 | Ranh nhà thờ Thọ Lâm
P=5982 | X=0090.100-0196.830 | Y=0338.010-0351.970 | Đường Thanh Thọ
P=5982 | X=0090.100-0154.580 | Y=0352.010-0365.970 | Quốc lộ 20
P=5982 | X=0090.100-0222.930 | Y=0366.010-0379.970 | Giáp ranh xã Phú Lâm
P=5982 | X=0090.100-0226.760 | Y=0408.010-0421.970 | Đường Lương Thế Vinh
P=5982 | X=0090.100-0249.250 | Y=0450.010-0463.970 | Đường Nguyễn Đình Chiểu
P=5982 | X=0090.100-0242.290 | Y=0492.010-0505.970 | Đường Nguyễn Hữu Cảnh
P=5982 | X=0090.100-0252.730 | Y=0506.010-0519.970 | Ranh giới xã Phú Xuân (cũ)
P=5982 | X=0090.100-0282.220 | Y=0520.010-0533.970 | Giáp Trường THCS Quang Trung
P=5982 | X=0090.100-0242.290 | Y=0562.010-0575.970 | Đường Nguyễn Hữu Cảnh
P=5982 | X=0090.100-0282.220 | Y=0576.010-0589.970 | Giáp Trường THCS Quang Trung
P=5982 | X=0090.100-0282.160 | Y=0590.010-0603.970 | Hết ranh Trường Dân tộc nội trú
P=5982 | X=0090.100-0242.290 | Y=0632.010-0645.970 | Đường Nguyễn Hữu Cảnh
P=5982 | X=0090.100-0282.160 | Y=0646.010-0659.970 | Hết ranh Trường Dân tộc nội trú
P=5982 | X=0090.100-0317.010 | Y=0660.010-0673.970 | Giáp đường Nguyễn Thị Định mở rộng
P=5982 | X=0090.100-0242.290 | Y=0702.010-0715.970 | Đường Nguyễn Hữu Cảnh
P=5983 | X=0090.100-0317.010 | Y=0072.010-0085.970 | Giáp đường Nguyễn Thị Định mở rộng
P=5983 | X=0090.100-0169.140 | Y=0086.010-0099.970 | Đường Tà Lài
P=5983 | X=0090.100-0244.000 | Y=0128.010-0141.970 | Đường Nguyễn Tất Thành
P=5983 | X=0090.100-0255.860 | Y=0142.010-0155.970 | Bệnh viện Đa khoa Tân Phú
P=5983 | X=0090.100-0169.750 | Y=0156.010-0169.970 | Ngã tư Tà Lài
P=5983 | X=0090.100-0244.000 | Y=0198.010-0211.970 | Đường Nguyễn Tất Thành
P=5983 | X=0090.100-0169.750 | Y=0212.010-0225.970 | Ngã tư Tà Lài
P=5983 | X=0090.100-0183.880 | Y=0226.010-0239.970 | Bến xe Tân Phú
P=5983 | X=0090.100-0233.220 | Y=0268.010-0281.970 | Đường Nguyễn Thị Định
P=5983 | X=0090.100-0154.580 | Y=0282.010-0295.970 | Quốc lộ 20
P=5983 | X=0090.100-0516.180 | Y=0296.010-0309.970 | Ngã tư Phòng giao dịch Ngân hàng chính sách xã hội xã Tân Phú (đoạn
P=5983 | X=0090.100-0143.680 | Y=0310.010-0323.970 | ban đầu)
P=5983 | X=0090.100-0233.220 | Y=0352.010-0365.970 | Đường Nguyễn Thị Định
P=5983 | X=0090.100-0516.180 | Y=0366.010-0379.970 | Ngã tư Phòng giao dịch Ngân hàng chính sách xã hội xã Tân Phú (đoạn
P=5983 | X=0090.100-0143.680 | Y=0380.010-0393.970 | ban đầu)
P=5983 | X=0090.100-0286.160 | Y=0394.010-0407.970 | Giáp KCN Tân Phú (đoạn nối dài)
P=5983 | X=0090.100-0259.540 | Y=0436.010-0449.970 | Đường Nguyễn Thượng Hiền
P=5983 | X=0090.100-0154.580 | Y=0450.010-0463.970 | Quốc lộ 20
P=5983 | X=0090.100-0207.280 | Y=0464.010-0477.970 | Đường Hùng Vương
P=5983 | X=0090.100-0235.530 | Y=0506.010-0519.970 | Đường Nguyễn Văn Linh
P=5983 | X=0090.100-0154.580 | Y=0520.010-0533.970 | Quốc lộ 20
P=5983 | X=0090.100-0206.770 | Y=0534.010-0547.970 | Chợ huyện Tân Phú
P=5983 | X=0090.100-0235.530 | Y=0576.010-0589.970 | Đường Nguyễn Văn Linh
P=5983 | X=0090.100-0206.770 | Y=0590.010-0603.970 | Chợ huyện Tân Phú
P=5983 | X=0090.100-0169.140 | Y=0604.010-0617.970 | Đường Tà Lài
P=5983 | X=0090.100-0233.240 | Y=0646.010-0659.970 | Đường Nguyễn Văn Trỗi
P=5983 | X=0090.100-0242.290 | Y=0660.010-0673.970 | Đường Nguyễn Hữu Cảnh
P=5983 | X=0090.100-0244.000 | Y=0674.010-0687.970 | Đường Nguyễn Tất Thành
P=5984 | X=0090.100-0241.740 | Y=0072.010-0085.970 | Đường Phạm Ngọc Thạch
P=5984 | X=0090.100-0154.580 | Y=0086.010-0099.970 | Quốc lộ 20
P=5984 | X=0090.100-0511.350 | Y=0100.010-0113.970 | Bên phải, đến hết ranh thửa đất số 83 tờ BĐĐC số 2; Bên trái, đến hết
P=5984 | X=0090.100-0303.600 | Y=0114.010-0127.970 | ranh thửa đất số 508, tờ BĐĐC số 2
P=5984 | X=0090.100-0222.180 | Y=0156.010-0169.970 | Đường Trịnh Hoài Đức
P=5984 | X=0090.100-0154.580 | Y=0170.010-0183.970 | Quốc lộ 20
P=5984 | X=0090.100-0244.000 | Y=0184.010-0197.970 | Đường Nguyễn Tất Thành
P=5984 | X=0090.100-0197.260 | Y=0226.010-0239.970 | Đường Võ Thị Sáu
P=5984 | X=0090.100-0242.290 | Y=0240.010-0253.970 | Đường Nguyễn Hữu Cảnh
P=5984 | X=0090.100-0244.000 | Y=0254.010-0267.970 | Đường Nguyễn Tất Thành
P=5984 | X=0090.100-0312.090 | Y=0296.010-0309.970 | Đường vào Khu công nghiệp Tân Phú
P=5984 | X=0090.100-0169.140 | Y=0310.010-0323.970 | Đường Tà Lài
P=5984 | X=0090.100-0414.190 | Y=0324.010-0337.970 | Bên phải, đến hết ranh thửa đất số 118 tờ BĐĐC số 3;
P=5984 | X=0090.100-0408.390 | Y=0338.010-0351.970 | Bên trái, đến hết ranh thửa đất số 119, tờ BĐĐC số 3
P=5984 | X=0090.100-0203.450 | Y=0380.010-0393.970 | Đường Chu Văn An
P=5984 | X=0090.100-0207.280 | Y=0422.010-0435.970 | Đường Hùng Vương
P=5984 | X=0090.100-0235.530 | Y=0436.010-0449.970 | Đường Nguyễn Văn Linh
P=5984 | X=0090.100-0169.140 | Y=0450.010-0463.970 | Đường Tà Lài
P=5984 | X=0090.100-0207.280 | Y=0492.010-0505.970 | Đường Hùng Vương
P=5984 | X=0090.100-0169.140 | Y=0506.010-0519.970 | Đường Tà Lài
P=5984 | X=0090.100-0156.990 | Y=0520.010-0533.970 | Nguyễn Du
P=5984 | X=0090.100-0207.280 | Y=0562.010-0575.970 | Đường Hùng Vương
P=5984 | X=0090.100-0156.990 | Y=0576.010-0589.970 | Nguyễn Du
P=5984 | X=0090.100-0328.490 | Y=0590.010-0603.970 | Hết ranh thửa đất số 458, tờ BĐĐC số 2
P=5984 | X=0090.100-0299.580 | Y=0632.010-0645.970 | Đường D1 đi khu tái định cư 9,7 ha
P=5984 | X=0090.100-0241.740 | Y=0646.010-0659.970 | Đường Phạm Ngọc Thạch
P=5984 | X=0090.100-0506.870 | Y=0660.010-0673.970 | Hết ranh thửa đất số 550, tờ BĐĐC số 3 về bên phải và hết ranh thửa
P=5984 | X=0090.100-0310.040 | Y=0674.010-0687.970 | đất số 574, tờ BĐĐC số 3 về bên trái
P=5985 | X=0090.100-0183.070 | Y=0072.010-0085.970 | Nguyễn Văn Cừ
P=5985 | X=0090.100-0154.580 | Y=0086.010-0099.970 | Quốc lộ 20
P=5985 | X=0090.100-0247.720 | Y=0100.010-0113.970 | Đường Nguyễn Tri Phương
P=5985 | X=0090.100-0183.070 | Y=0142.010-0155.970 | Nguyễn Văn Cừ
P=5985 | X=0090.100-0154.580 | Y=0156.010-0169.970 | Quốc lộ 20
P=5985 | X=0090.100-0328.500 | Y=0170.010-0183.970 | Hết ranh thửa đất số 52, tờ BĐĐC số 31
P=5985 | X=0090.100-0200.700 | Y=0212.010-0225.970 | Nguyễn Chí Thanh
P=5985 | X=0090.100-0154.580 | Y=0226.010-0239.970 | Quốc lộ 20
P=5985 | X=0090.100-0206.500 | Y=0240.010-0253.970 | Đường Lê Đại Hành
P=5985 | X=0090.100-0156.990 | Y=0282.010-0295.970 | Nguyễn Du
P=5985 | X=0090.100-0154.580 | Y=0296.010-0309.970 | Quốc lộ 20
P=5985 | X=0090.100-0244.000 | Y=0310.010-0323.970 | Đường Nguyễn Tất Thành
P=5985 | X=0090.100-0156.990 | Y=0352.010-0365.970 | Nguyễn Du
P=5985 | X=0090.100-0244.000 | Y=0366.010-0379.970 | Đường Nguyễn Tất Thành
P=5985 | X=0090.100-0520.960 | Y=0380.010-0393.970 | Hết ranh thửa đất số 113 tờ BĐĐC số 3 về bên trái và hết ranh thửa đất
P=5985 | X=0090.100-0288.350 | Y=0394.010-0407.970 | số 785 tờ BĐĐC số 3 về bên phải
P=5985 | X=0090.100-0271.350 | Y=0436.010-0449.970 | Đường ấp 5-ấp 6 xã Trà Cổ Cũ
P=5985 | X=0090.100-0172.430 | Y=0450.010-0463.970 | Đường Trà Cổ
P=5985 | X=0090.100-0296.320 | Y=0464.010-0477.970 | Thửa đất số 154, tờ bản đồ số 154
P=5985 | X=0090.100-0276.740 | Y=0506.010-0519.970 | Đường vào Khu du lịch Suối Mơ
P=5985 | X=0090.100-0172.430 | Y=0520.010-0533.970 | Đường Trà Cổ
P=5985 | X=0090.100-0242.660 | Y=0534.010-0547.970 | Cổng Khu du lịch Suối Mơ
P=5985 | X=0090.100-0105.360 | Y=0562.010-0575.970 | 49
P=5985 | X=0090.100-0145.290 | Y=0576.010-0589.970 | Xã Tà Lài
P=5985 | X=0090.100-0299.630 | Y=0646.010-0659.970 | Đường Phú Lập đi xã Nam Cát Tiên
P=5985 | X=0090.100-0299.050 | Y=0660.010-0673.970 | Ngã 3 Phú lập đi xã Núi Tượng (cũ)
P=5985 | X=0090.100-0171.660 | Y=0674.010-0687.970 | Đường ấp 2-4
