TABLE=043 | AREA=Xã Định Quán
--- SEQUENCE=10 | SECTION=non-agricultural | PAGES=5772-5776 | LINES=117 ---
P=5965 | X=0090.100-0154.580 | Y=0660.010-0673.970 | Quốc lộ 20
P=5965 | X=0090.100-0152.020 | Y=0674.010-0687.970 | Cầu Trắng
P=5965 | X=0090.100-0228.100 | Y=0688.010-0701.970 | Hết ranh xã Định Quán
P=5966 | X=0090.100-0252.630 | Y=0086.010-0099.970 | Đường Cách Mạng Tháng 8
P=5966 | X=0090.100-0206.300 | Y=0100.010-0113.970 | Đường Nguyễn Trãi
P=5966 | X=0090.100-0200.150 | Y=0114.010-0127.970 | Đường Ngô Quyền
P=5966 | X=0090.100-0235.530 | Y=0156.010-0169.970 | Đường Nguyễn Văn Linh
P=5966 | X=0090.100-0154.580 | Y=0170.010-0183.970 | Quốc lộ 20
P=5966 | X=0090.100-0168.530 | Y=0184.010-0197.970 | Đường Lê Lợi
P=5966 | X=0090.100-0198.670 | Y=0226.010-0239.970 | Đường 17 tháng 3
P=5966 | X=0090.100-0191.040 | Y=0240.010-0253.970 | Đường 3 tháng 2
P=5966 | X=0090.100-0222.180 | Y=0254.010-0267.970 | Đường Trịnh Hoài Đức
P=5966 | X=0090.100-0222.180 | Y=0296.010-0309.970 | Đường Trịnh Hoài Đức
P=5966 | X=0090.100-0198.670 | Y=0310.010-0323.970 | Đường 17 tháng 3
P=5966 | X=0090.100-0187.990 | Y=0324.010-0337.970 | Đường Gia Canh
P=5966 | X=0090.100-0337.600 | Y=0366.010-0379.970 | Đường Trạm y tế cũ - Điện lực Định Quán
P=5966 | X=0090.100-0298.930 | Y=0380.010-0393.970 | Quốc lộ 20 hướng vào trạm y tế cũ
P=5966 | X=0090.100-0344.370 | Y=0394.010-0407.970 | Quốc lộ 20 (bên hông Điện lực Định Quán)
P=5966 | X=0090.100-0166.730 | Y=0436.010-0449.970 | Đường Thú y
P=5966 | X=0090.100-0235.530 | Y=0450.010-0463.970 | Đường Nguyễn Văn Linh
P=5966 | X=0090.100-0229.380 | Y=0464.010-0477.970 | Đường Ngô Thời Nhiệm
P=5966 | X=0090.100-0166.730 | Y=0506.010-0519.970 | Đường Thú y
P=5966 | X=0090.100-0235.530 | Y=0520.010-0533.970 | Đường Nguyễn Văn Linh
P=5966 | X=0090.100-0504.430 | Y=0534.010-0547.970 | Bên phải, đến hết ranh thửa đất số 236, tờ BĐĐC số 43, xã Phú Vinh;
P=5966 | X=0090.100-0481.940 | Y=0548.010-0561.970 | bên trái, đến hết ranh thửa đất số 4, tờ BĐĐC số 3, xã Định Quán
P=5966 | X=0090.100-0288.740 | Y=0590.010-0603.970 | Đường 3 tháng 2 (đường số 4 cũ)
P=5966 | X=0090.100-0235.530 | Y=0604.010-0617.970 | Đường Nguyễn Văn Linh
P=5966 | X=0090.100-0200.150 | Y=0618.010-0631.970 | Đường Ngô Quyền
P=5966 | X=0090.100-0288.740 | Y=0660.010-0673.970 | Đường 3 tháng 2 (đường số 4 cũ)
P=5966 | X=0090.100-0200.150 | Y=0674.010-0687.970 | Đường Ngô Quyền
P=5966 | X=0090.100-0229.500 | Y=0688.010-0701.970 | Đường Trần Nhân Tông
P=5967 | X=0090.100-0234.530 | Y=0086.010-0099.970 | Đường Huỳnh Văn Nghệ
P=5967 | X=0090.100-0200.150 | Y=0100.010-0113.970 | Đường Ngô Quyền
P=5967 | X=0090.100-0229.500 | Y=0114.010-0127.970 | Đường Trần Nhân Tông
P=5967 | X=0090.100-0206.300 | Y=0156.010-0169.970 | Đường Nguyễn Trãi
P=5967 | X=0090.100-0229.670 | Y=0170.010-0183.970 | Đường Nguyễn Ái Quốc
P=5967 | X=0090.100-0447.090 | Y=0184.010-0197.970 | Hết khu phố chợ (bao gồm các thửa đất trong khu phố chợ)
P=5967 | X=0090.100-0206.300 | Y=0226.010-0239.970 | Đường Nguyễn Trãi
P=5967 | X=0090.100-0188.800 | Y=0240.010-0253.970 | Hết khu phố chợ
P=5967 | X=0090.100-0252.630 | Y=0254.010-0267.970 | Đường Cách Mạng Tháng 8
P=5967 | X=0090.100-0321.610 | Y=0296.010-0309.970 | Đường Trần Hưng Đạo (đường số 6 cũ)
P=5967 | X=0090.100-0235.530 | Y=0310.010-0323.970 | Đường Nguyễn Văn Linh
P=5967 | X=0090.100-0200.150 | Y=0324.010-0337.970 | Đường Ngô Quyền
P=5967 | X=0090.100-0321.610 | Y=0366.010-0379.970 | Đường Trần Hưng Đạo (đường số 6 cũ)
P=5967 | X=0090.100-0200.150 | Y=0380.010-0393.970 | Đường Ngô Quyền
P=5967 | X=0090.100-0252.630 | Y=0394.010-0407.970 | Đường Cách Mạng Tháng 8
P=5967 | X=0090.100-0200.150 | Y=0436.010-0449.970 | Đường Ngô Quyền
P=5967 | X=0090.100-0229.670 | Y=0450.010-0463.970 | Đường Nguyễn Ái Quốc
P=5967 | X=0090.100-0223.900 | Y=0464.010-0477.970 | Đường Trần Hưng Đạo
P=5967 | X=0090.100-0200.150 | Y=0506.010-0519.970 | Đường Ngô Quyền
P=5967 | X=0090.100-0223.900 | Y=0520.010-0533.970 | Đường Trần Hưng Đạo
P=5967 | X=0090.100-0252.630 | Y=0534.010-0547.970 | Đường Cách Mạng Tháng 8
P=5967 | X=0090.100-0229.500 | Y=0576.010-0589.970 | Đường Trần Nhân Tông
P=5967 | X=0090.100-0206.300 | Y=0590.010-0603.970 | Đường Nguyễn Trãi
P=5967 | X=0090.100-0223.900 | Y=0604.010-0617.970 | Đường Trần Hưng Đạo
P=5967 | X=0090.100-0229.500 | Y=0646.010-0659.970 | Đường Trần Nhân Tông
P=5967 | X=0090.100-0223.900 | Y=0660.010-0673.970 | Đường Trần Hưng Đạo
P=5967 | X=0090.100-0417.930 | Y=0674.010-0687.970 | Hết ranh thửa đất số 199, tờ BĐĐC số 7, xã Định Quán
P=5968 | X=0090.100-0229.670 | Y=0072.010-0085.970 | Đường Nguyễn Ái Quốc
P=5968 | X=0090.100-0206.300 | Y=0086.010-0099.970 | Đường Nguyễn Trãi
P=5968 | X=0090.100-0235.530 | Y=0100.010-0113.970 | Đường Nguyễn Văn Linh
P=5968 | X=0090.100-0168.540 | Y=0142.010-0155.970 | Đường Lê Lai
P=5968 | X=0090.100-0203.450 | Y=0156.010-0169.970 | Đường Chu Văn An
P=5968 | X=0090.100-0499.300 | Y=0170.010-0183.970 | Bên trái, đến hết ranh thửa đất số 197, tờ BĐĐC số 5; Bên phải, đến
P=5968 | X=0090.100-0311.820 | Y=0184.010-0197.970 | hết ranh thửa đất số 5, tờ BĐĐC số 5
P=5968 | X=0090.100-0168.530 | Y=0226.010-0239.970 | Đường Lê Lợi
P=5968 | X=0090.100-0321.610 | Y=0240.010-0253.970 | Đường Trần Hưng Đạo (đường số 6 cũ)
P=5968 | X=0090.100-0226.760 | Y=0254.010-0267.970 | Đường Lương Thế Vinh
P=5968 | X=0090.100-0203.450 | Y=0296.010-0309.970 | Đường Chu Văn An
P=5968 | X=0090.100-0229.670 | Y=0310.010-0323.970 | Đường Nguyễn Ái Quốc
P=5968 | X=0090.100-0226.760 | Y=0324.010-0337.970 | Đường Lương Thế Vinh
P=5968 | X=0090.100-0212.310 | Y=0366.010-0379.970 | Đường Mạc Đĩnh Chi
P=5968 | X=0090.100-0200.150 | Y=0380.010-0393.970 | Đường Ngô Quyền
P=5968 | X=0090.100-0168.530 | Y=0394.010-0407.970 | Đường Lê Lợi
P=5968 | X=0090.100-0200.220 | Y=0436.010-0449.970 | Đường Nguyễn Du
P=5968 | X=0090.100-0200.150 | Y=0450.010-0463.970 | Đường Ngô Quyền
P=5968 | X=0090.100-0168.530 | Y=0464.010-0477.970 | Đường Lê Lợi
