TABLE=073 | AREA=Xã Lộc Thạnh | SECTION=non-agricultural | SEGMENTS=1
P=2049 | X=0210.310-0326.690 | Y=0582.410-0593.650 | Cổng chào Hết ranh đất
P=2049 | X=0210.310-0331.170 | Y=0593.930-0605.170 | Nhà văn hóa trường Trung
P=2049 | X=0093.380-0160.690 | Y=0599.690-0610.930 | 5 Đường nhựa
P=2049 | X=0344.280-0360.920 | Y=0601.570-0610.890 | 840
P=2049 | X=0399.980-0416.620 | Y=0601.570-0610.890 | 590
P=2049 | X=0505.390-0522.030 | Y=0601.570-0610.890 | 500
P=2049 | X=0210.310-0252.670 | Y=0605.450-0616.690 | ấp Thạnh
P=2049 | X=0271.540-0335.400 | Y=0605.450-0616.690 | học cơ sở Lộc
P=2049 | X=0210.310-0236.550 | Y=0618.630-0627.950 | Trung
P=2049 | X=0271.540-0299.940 | Y=0618.630-0627.950 | Thạnh
P=2049 | X=0102.770-0331.720 | Y=0634.750-0645.990 | Các tuyến Đường nhựa trong khu dân cư trung tâm
P=2049 | X=0093.380-0098.980 | Y=0642.390-0651.710 | 6
P=2049 | X=0344.280-0360.920 | Y=0642.390-0651.710 | 840
P=2049 | X=0399.980-0416.620 | Y=0642.390-0651.710 | 590
P=2049 | X=0505.390-0522.030 | Y=0642.390-0651.710 | 500
P=2049 | X=0102.770-0155.320 | Y=0646.270-0657.510 | cụm xã (cũ)
P=2049 | X=0210.310-0270.980 | Y=0664.270-0675.510 | Giáp ranh đất
P=2049 | X=0102.770-0206.310 | Y=0670.030-0681.270 | Đường liên xã Lộc Hòa
P=2049 | X=0271.540-0323.230 | Y=0671.910-0681.230 | Ngã ba nhà
P=2049 | X=0093.380-0098.980 | Y=0677.670-0686.990 | 7
P=2049 | X=0210.310-0266.100 | Y=0677.670-0686.990 | Trạm y tế xã
P=2049 | X=0344.280-0360.920 | Y=0677.670-0686.990 | 410
P=2049 | X=0399.980-0416.620 | Y=0677.670-0686.990 | 280
P=2049 | X=0505.390-0522.030 | Y=0677.670-0686.990 | 240
P=2049 | X=0102.770-0160.120 | Y=0681.550-0692.790 | - Lộc An (cũ)
P=2049 | X=0271.540-0331.650 | Y=0683.430-0692.750 | Huyền Thông
P=2049 | X=0210.310-0227.590 | Y=0687.310-0698.550 | (cũ)
P=2049 | X=0093.380-0333.800 | Y=0705.330-0716.570 | 8 Đường liên xã Lộc Hòa Ngã ba nhà Cổng chào ấp
