TABLE=070 | AREA=Xã Lộc Thành | SECTION=non-agricultural | SEGMENTS=1
P=2044 | X=0407.180-0423.820 | Y=0368.240-0377.560 | 400
P=2044 | X=0505.390-0522.030 | Y=0368.240-0377.560 | 340
P=2044 | X=0264.580-0322.280 | Y=0372.120-0383.360 | bản đồ số 10
P=2044 | X=0102.770-0131.880 | Y=0374.000-0383.320 | Bình 1
P=2044 | X=0201.190-0212.310 | Y=0379.760-0389.080 | 10
P=2044 | X=0102.770-0327.560 | Y=0395.880-0407.120 | Các tuyến đường giao thông nông thôn có bề rộng
P=2044 | X=0090.500-0101.620 | Y=0403.520-0412.840 | 31
P=2044 | X=0353.880-0370.520 | Y=0403.520-0412.840 | 360
P=2044 | X=0407.180-0423.820 | Y=0403.520-0412.840 | 250
P=2044 | X=0505.390-0522.030 | Y=0403.520-0412.840 | 220
P=2044 | X=0102.770-0300.180 | Y=0407.400-0418.640 | đường theo bản đồ địa chính lừ 3,5m trở lên
P=2044 | X=0090.500-0212.310 | Y=0425.400-0436.640 | 32 Các tuyến đường còn lại
P=2044 | X=0353.880-0370.520 | Y=0427.280-0436.600 | 270
P=2044 | X=0407.180-0423.820 | Y=0427.280-0436.600 | 190
P=2044 | X=0505.390-0522.030 | Y=0427.280-0436.600 | 160
