TABLE=085 | AREA=Xã Thiện Hưng | RECORDS=134 | GROUPS=134 | REVIEW=134
ID=NQ28-085-S01-TT0051-01 | SEC=non-agricultural | TT=51 | REL=main | PRICES=950,820 | ROAD=đấu nối từ đường Lê Duẩn và Đường Nguyễn Huệ vào Toàn 200m (trừ các đoạn đã quy định giá đất cụ | START=tuyến | END=1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0052-01 | SEC=non-agricultural | TT=52 | REL=main | PRICES=840,720 | ROAD=Đường nhựa bên hông Bệnh viện đa Đường khoa huyện Bù Đốp Ngọc (cũ) | START=Đến ngã Phạm Nhựa (hết số 374, Thạch số 17) | END=ba đường thửa đất 1.200 tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0053-01 | SEC=non-agricultural | TT=53 | REL=main | PRICES=620,530 | ROAD=Đường bê tông quanh Bệnh viện đa khoa Toàn huyện Bù Đốp (cũ) | START=tuyến | END=880 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0054-01 | SEC=non-agricultural | TT=54 | REL=main | PRICES=620,530 | ROAD=Đường trong khu đấu giá Trung Tâm Y tế Toàn cũ (Đường vào hồ bơi Hạnh Ngộ) | START=tuyến | END=880 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0055-01 | SEC=non-agricultural | TT=55 | REL=main | PRICES=520,450 | ROAD=Ngã thửa Đường nhựa đi công và thửa ty Chuối 11 tờ 28) | START=ba (hết ranh Ranh xã đất số 24 Hưng cũ đất số số 94, bản đồ số 5) | END=Thiện (thửa đất 740 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0056-01 | SEC=non-agricultural | TT=56 | REL=main | PRICES=520,450 | ROAD=Đường nhựa đi ấp Thửa Thanh Sơn tờ bản | START=Ngã ba đất số 94, số 104, đồ số 20 số 20) | END=(Hết thửa tờ bản đồ 740 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0057-01 | SEC=non-agricultural | TT=57 | REL=main | PRICES=520,450 | ROAD=Đường nhựa đi ấp Thửa tờ bản Thanh Thủy | START=Hết thửa đất số 91, tờ bản đồ số 20 (xưởng Đoàn) | END=đất số 86, đồ số 20 740 điều Thu | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0058-01 | SEC=non-agricultural | TT=58 | REL=main | PRICES=420,360 | ROAD=Đường nhựa đi ấp Thửa 114, Thanh Thủy (Cổng chào ấp) số 13 | START=đất số Hết Thửa tờ bản đồ tờ bản | END=đất số 77, 600 đồ số 13 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0059-01 | SEC=non-agricultural | TT=59 | REL=main | PRICES=380,320 | ROAD=Đường nhựa ấp Thửa Thanh Trung đi ấp 574, Thiện Cư số 11 | START=Hết thửa đất số tờ bản tờ bản đồ (Hết ranh Thanh | END=đất số 13, đồ số 11 540 thị trấn Bình (cũ)) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0060-01 | SEC=non-agricultural | TT=60 | REL=main | PRICES=670,580 | ROAD=Đường nhựa đi ấp Ngã Thanh Sơn Lành | START=Trụ sở Tâm (hết ba Kiết số 42, 12) | END=ấp Thanh thửa đất 960 tờ bản đồ số | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0061-01 | SEC=non-agricultural | TT=61 | REL=main | PRICES=670,580 | ROAD=Đường nhựa đi ấp Ngã Thanh Sơn Lành | START=Hết thửa ba Kiết 413, tờ 11 | END=đất số bản đồ số 960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0062-01 | SEC=non-agricultural | TT=62 | REL=main | PRICES=780,670 | ROAD=Các tuyến đường trong Khu quy hoạch Toàn song song Chu Văn An, Nguyễn Huệ | START=tuyến | END=1.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0063-01 | SEC=non-agricultural | TT=63 | REL=main | PRICES=450,380 | ROAD=Đường nhựa (Sao Đường Biển) Huệ | START=Nguyễn Hết thửa tờ bản | END=đất số 01, 640 đồ số 45 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0064-01 | SEC=non-agricultural | TT=64 | REL=main | PRICES=450,380 | ROAD=Đường bê tông bên Thửa hông Trường THCS tờ bản Thanh Bình | START=đất số 01, Thửa đất đồ số 36 bản đồ | END=số 37, tờ 640 số 36 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0065-01 | SEC=non-agricultural | TT=65 | REL=main | PRICES=1300,1200 | ROAD=Đường nhựa giáp ranh Trụ Sở khối Mặt Toàn trận - Đoàn thể | START=tuyến | END=1.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0066-01 | SEC=non-agricultural | TT=66 | REL=main | PRICES=1700,1400 | ROAD=Tuyến đường song song giữa đường Chu Toàn Văn An và đường Nguyễn Trãi | START=tuyến | END=2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0067-01 | SEC=non-agricultural | TT=67 | REL=main | PRICES=1700,1400 | ROAD=Các đường đấu nối giữa đường Chu Văn Toàn An và đường Nguyễn Trãi | START=tuyến | END=2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0068-01 | SEC=non-agricultural | TT=68 | REL=main | PRICES=1700,1400 | ROAD=Các đường đấu nối giữa đường Chu Văn Toàn An và Đường Nguyễn Huệ | START=tuyến | END=2.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0069-01 | SEC=non-agricultural | TT=69 | REL=main | PRICES=670,580 | ROAD=Tuyến đường bê tông nối từ Đường Hùng Toàn Vương đến đường bê | START=tuyến | END=960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0070-01 | SEC=non-agricultural | TT=70 | REL=main | PRICES=450,380 | ROAD=tông giáp ranh giữa thị trấn Thanh Bình - xã Thanh Hòa (cũ) Đường bê tông giáp ranh giữa Thanh Hòa Đường và Thanh Bình (cũ) Huệ (đường quán tỉnh) | START=Hết ranh Nguyễn số 81, 74 | END=thửa đất tờ bản đồ số 640 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0071-01 | SEC=non-agricultural | TT=71 | REL=main | PRICES=390,340 | ROAD=Đường bê tông giáp Hết ranh giữa Thanh Hòa đất và Thanh Bình (cũ) bản (đường quán tỉnh) | START=Hết ranh ranh thửa số 81, tờ số 213, đồ số 74 số 16 | END=thửa đất tờ bản đồ 560 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0072-01 | SEC=non-agricultural | TT=72 | REL=main | PRICES=670,580 | ROAD=Đường bê tông giáp Đường ranh giữa Thanh Hòa Huệ và Thanh Bình (cũ) | START=Hết ranh Nguyễn số 11, 66 | END=thửa đất tờ bản đồ số 960 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0073-01 | SEC=non-agricultural | TT=73 | REL=main | PRICES=560,480 | ROAD=Đường bê tông giáp Hết ranh giữa Thanh Hòa đất và Thanh Bình (cũ) bản | START=ranh thửa Hết ranh số 11, tờ số 74, đồ số 66 8 | END=thửa đất tờ bản đồ số 800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0074-01 | SEC=non-agricultural | TT=74 | REL=main | PRICES=1500,1300 | ROAD=Giáp Đường ĐT 759B Tân | START=ranh xã Cống Tầm Tiến | END=Ron 2.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0075-01 | SEC=non-agricultural | TT=75 | REL=main | PRICES=3000,2500 | ROAD=Đường ĐT 759B Cống | START=Ngã ba Tầm Ron ấp 7 (ngã Sao) | END=đường vào ba Cây 4.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0076-01 | SEC=non-agricultural | TT=76 | REL=main | PRICES=4200,3600 | ROAD=Ngã Đường ĐT 759B vào Cây | START=ba đường Giáp ranh ấp 7 (ngã ba Thanh Sao) | END=thị trấn 6.000 Bình (cũ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0077-01 | SEC=non-agricultural | TT=77 | REL=main | PRICES=950,820 | ROAD=Ngã Luyện Đường ĐT 759B số 01, số 84) | START=ba nhà ông (thửa đất Cầu sông tờ bản đồ | END=Bé mới 1.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0078-01 | SEC=non-agricultural | TT=78 | REL=main | PRICES=3400,2900 | ROAD=Giáp Đường ĐT 759B trấn (cũ) | START=ranh thị Hết ranh Thanh Bình Ba Đừng | END=trại hòm 4.800 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0079-01 | SEC=non-agricultural | TT=79 | REL=main | PRICES=2700,2400 | ROAD=Hết Đường ĐT 759B hòm | START=Ngã ba ranh trại đường Ba Đừng Thiện Hưng | END=xuống sau chợ 3.900 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0080-01 | SEC=non-agricultural | TT=80 | REL=main | PRICES=3600,3100 | ROAD=Ngã Đường ĐT 759B đường Thiện | START=ba xuống Hết ranh sau chợ số 121, Hưng số 178 | END=thửa đất tờ bản đồ 5.200 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0081-01 | SEC=non-agricultural | TT=81 | REL=main | PRICES=3200,2800 | ROAD=Hết Đường ĐT 759B đất bản | START=ranh thửa Hết ranh số 121, tờ niệm đồ số 178 | END=Đài tưởng 4.600 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0082-01 | SEC=non-agricultural | TT=82 | REL=main | PRICES=1400,1200 | ROAD=Hết Đường ĐT 759B tưởng | START=Giáp ranh ranh Đài Phước niệm Thiện (cũ) | END=xã Hưng và Phước 2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0083-01 | SEC=non-agricultural | TT=83 | REL=main | PRICES=1400,1200 | ROAD=Đường D11 vào Giáp UBND xã Thanh Hòa Thanh (cũ) | START=thị trấn Cổng chào Bình cũ) | END=ấp 8 2.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0084-01 | SEC=non-agricultural | TT=84 | REL=main | PRICES=1100,900 | ROAD=Đường D11 vào UBND xã Thanh Hòa Cổng (cũ) | START=chào ấp 8 Nhà văn | END=hóa ấp 8 1.500 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-085-S01-TT0085-01 | SEC=non-agricultural | TT=85 | REL=main | PRICES=700,600 | ROAD=Đường D11 vào Nhà UBND xã Thanh Hòa 8 (cũ) | START=văn hóa ấp Chùa Thanh | END=Vân 1.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
