TABLE=059 | AREA=Phường Chơn Thành | RECORDS=234 | GROUPS=234 | REVIEW=188
ID=NQ28-059-S01-TT0030-01 | SEC=non-agricultural | TT=30 | REL=main | PRICES=1500,1200 | ROAD=Đường Phạm Ngã tư Hồng Thái Hồng Thái (Đường số 8) | START=Phía Đông: Đường Phạm ba (Hết đất số | END=Đến ngã ranh thửa 2.100 29, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0031-01 | SEC=non-agricultural | TT=31 | REL=main | PRICES=5600,4800 | ROAD=Đầu tuyến Đường Ngô Gia HLBVĐB Tự (Đường số 3) tháng 4: | START=số 49) Phía Tây: đất thửa bản đồ Ngã tư (Cách tông (hết - Đường 02 đất số 25m) số 72) | END=Hết ranh đất số 5, tờ số 49 đường bê ranh thửa 8.000 15, tờ bản đồ | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0032-01 | SEC=non-agricultural | TT=32 | REL=main | PRICES=4500,3800 | ROAD=Ngã tư Đường Ngô Gia tông (hết Tự (Đường số 3) đất số 15, số 72) | START=Đường bê ranh thửa Cuối tuyến tờ bản đồ Nguyễn | END=(Đường 6.400 Huệ) | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0033-01 | SEC=non-agricultural | TT=33 | REL=main | PRICES=4500,3800 | ROAD=Đường Hoàng Toàn tuyến Hoa Thám (D1) | START= | END=6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0034-01 | SEC=non-agricultural | TT=34 | REL=main | PRICES=4500,3800 | ROAD=Đường Phạm Toàn tuyến Ngọc Thạch (D9) | START= | END=6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0035-01 | SEC=non-agricultural | TT=35 | REL=main | PRICES=4500,3800 | ROAD=Trung tâm Đường Nguyễn chính phường Văn Linh Thành | START=hành Ngã tư Chơn Bá Quát | END=Đường Cao 6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0036-01 | SEC=non-agricultural | TT=36 | REL=main | PRICES=4500,3800 | ROAD=Đường Phan Toàn tuyến Đình Giót (N1) | START= | END=6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0037-01 | SEC=non-agricultural | TT=37 | REL=main | PRICES=4500,3800 | ROAD=Đường Phan Toàn tuyến Đình Phùng (N9) Các đường quy | START= | END=6.400 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0038-01 | SEC=non-agricultural | TT=38 | REL=main | PRICES=3600,3100 | ROAD=hoạch còn lại trong khu trung Toàn tuyến tâm hành chính thị xã | START= | END=5.100 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
ID=NQ28-059-S01-TT0039-01 | SEC=non-agricultural | TT=39 | REL=main | PRICES=11200,9600 | ROAD=Đường Phước Đường Long | START=02 tháng 4 Đường | END=D5 16.000 | FLAGS=NON_AGRICULTURAL_PRICE_COLUMN_COUNT_2
