TABLE=054 | AREA=Xã Tân An | SECTION=agricultural | SEGMENTS=1
P=1811 | X=0119.090-0346.570 | Y=0328.900-0340.140 | Bao có hiện trạng là đường nhựa, bê tông xi măng:
P=1811 | X=0098.930-0350.640 | Y=0346.420-0360.500 | 20 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1811 | X=0455.690-0472.330 | Y=0351.180-0360.500 | 400
P=1811 | X=0505.390-0522.030 | Y=0351.180-0360.500 | 260
P=1811 | X=0119.090-0405.980 | Y=0363.700-0374.940 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1811 | X=0119.090-0180.210 | Y=0375.240-0386.480 | đến ≤1.000m.
P=1811 | X=0119.090-0342.260 | Y=0392.760-0404.000 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1811 | X=0119.090-0404.350 | Y=0410.520-0421.760 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1811 | X=0119.090-0415.820 | Y=0422.040-0433.280 | Đường tỉnh 768 đoạn từ Đường vào bến đò Đại An đến Cầu Chùm
P=1811 | X=0119.090-0346.570 | Y=0433.560-0444.800 | Bao có hiện trạng là đường nhựa, bê tông xi măng:
P=1811 | X=0098.930-0110.050 | Y=0441.440-0450.760 | 21
P=1811 | X=0455.690-0472.330 | Y=0441.440-0450.760 | 290
P=1811 | X=0505.390-0522.030 | Y=0441.440-0450.760 | 180
P=1811 | X=0119.090-0404.900 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1811 | X=0119.090-0342.730 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1811 | X=0098.930-0266.540 | Y=0486.380-0497.620 | 22 Đường tỉnh 768 Cầu Chùm Bao
P=1811 | X=0309.960-0403.580 | Y=0488.260-0497.580 | Cầu Bà Giá (Cầu 19)
P=1811 | X=0455.690-0472.330 | Y=0488.260-0497.580 | 730
P=1811 | X=0505.390-0522.030 | Y=0488.260-0497.580 | 530
P=1811 | X=0119.090-0405.830 | Y=0504.140-0515.380 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1811 | X=0119.090-0411.810 | Y=0515.660-0526.900 | đoạn từ Cầu Chùm Bao đến Cầu Bà Giá (Cầu 19) có hiện trạng là
P=1811 | X=0119.090-0254.860 | Y=0527.180-0538.420 | đường nhựa, bê tông xi măng:
P=1811 | X=0098.930-0110.050 | Y=0535.090-0544.410 | 23
P=1811 | X=0455.690-0472.330 | Y=0535.090-0544.410 | 500
P=1811 | X=0505.390-0522.030 | Y=0535.090-0544.410 | 330
P=1811 | X=0119.090-0350.170 | Y=0544.490-0555.730 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1811 | X=0119.090-0396.280 | Y=0562.010-0573.250 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1811 | X=0119.090-0405.830 | Y=0579.770-0591.010 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1811 | X=0119.090-0411.810 | Y=0591.290-0602.530 | đoạn từ Cầu Chùm Bao đến Cầu Bà Giá (Cầu 19) có hiện trạng là
P=1811 | X=0119.090-0254.860 | Y=0602.810-0614.050 | đường nhựa, bê tông xi măng:
P=1811 | X=0098.930-0350.640 | Y=0620.350-0634.670 | 24 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1811 | X=0455.690-0472.330 | Y=0625.350-0634.670 | 400
P=1811 | X=0505.390-0522.030 | Y=0625.350-0634.670 | 260
P=1811 | X=0119.090-0405.980 | Y=0637.870-0649.110 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m
P=1811 | X=0119.090-0180.210 | Y=0649.390-0660.630 | đến ≤1.000m.
P=1811 | X=0119.090-0342.260 | Y=0666.910-0678.150 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=1811 | X=0119.090-0405.830 | Y=0684.670-0695.910 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường tỉnh 768
P=1811 | X=0098.930-0411.810 | Y=0696.190-0707.430 | 25 đoạn từ Cầu Chùm Bao đến Cầu Bà Giá (Cầu 19) có hiện trạng là
P=1811 | X=0455.690-0472.330 | Y=0698.070-0707.390 | 290
P=1811 | X=0505.390-0522.030 | Y=0698.070-0707.390 | 180
P=1811 | X=0119.090-0254.860 | Y=0707.730-0718.970 | đường nhựa, bê tông xi măng:
P=1812 | X=0119.090-0404.900 | Y=0078.500-0089.740 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=1812 | X=0119.090-0342.730 | Y=0096.020-0107.260 | - Có bề rộng <3m, cách đường giao thông >200m.
P=1812 | X=0119.090-0404.350 | Y=0113.780-0125.020 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1812 | X=0119.090-0413.420 | Y=0125.330-0136.570 | Đường tỉnh 768 đoạn từ Cầu Chùm Bao đến Cầu Bà Giá (Cầu 19)
P=1812 | X=0119.090-0325.940 | Y=0136.850-0148.090 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1812 | X=0098.930-0110.050 | Y=0144.730-0154.050 | 26
P=1812 | X=0455.690-0472.330 | Y=0144.730-0154.050 | 500
P=1812 | X=0505.390-0522.030 | Y=0144.730-0154.050 | 330
P=1812 | X=0119.090-0350.170 | Y=0154.370-0165.610 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=1812 | X=0119.090-0396.280 | Y=0171.650-0182.890 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=1812 | X=0119.090-0404.350 | Y=0189.410-0200.650 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra
P=1812 | X=0119.090-0413.420 | Y=0200.950-0212.190 | Đường tỉnh 768 đoạn từ Cầu Chùm Bao đến Cầu Bà Giá (Cầu 19)
P=1812 | X=0119.090-0325.940 | Y=0212.470-0223.710 | có hiện trạng là đường nhựa, bê tông xi măng:
P=1812 | X=0098.930-0350.680 | Y=0229.990-0244.310 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=1812 | X=0455.690-0472.330 | Y=0234.990-0244.310 | 400
P=1812 | X=0505.390-0522.030 | Y=0234.990-0244.310 | 260
