TABLE=026 | AREA=Xã Xuân Thành | SECTION=agricultural | SEGMENTS=1
P=0916 | X=0107.570-0393.360 | Y=0451.100-0462.340 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0916 | X=0107.570-0331.210 | Y=0468.620-0479.860 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0916 | X=0330.360-0422.140 | Y=0486.380-0497.620 | Hết ranh thửa đất số
P=0916 | X=0330.360-0420.460 | Y=0497.900-0509.140 | 535, tờ BĐĐC số 37
P=0916 | X=0330.360-0412.140 | Y=0511.300-0520.620 | về bên phải và hết
P=0916 | X=0093.140-0163.810 | Y=0520.940-0532.180 | 22 Đường lô 13
P=0916 | X=0240.580-0310.750 | Y=0520.940-0532.180 | Đường tỉnh 766
P=0916 | X=0330.360-0426.070 | Y=0520.940-0532.180 | ranh thửa đất số 567,
P=0916 | X=0460.490-0477.130 | Y=0522.820-0532.140 | 470
P=0916 | X=0505.390-0522.030 | Y=0522.820-0532.140 | 330
P=0916 | X=0330.360-0411.830 | Y=0532.220-0543.460 | tờ BĐĐC số 37 về
P=0916 | X=0330.360-0406.030 | Y=0545.650-0554.970 | bên trái, xã Xuân
P=0916 | X=0330.360-0358.770 | Y=0557.170-0566.490 | Thành
P=0916 | X=0107.570-0417.760 | Y=0573.050-0584.290 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường lô 13 đoạn từ
P=0916 | X=0107.570-0417.340 | Y=0584.570-0595.810 | Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ BĐĐC số 37 về bên
P=0916 | X=0107.570-0417.060 | Y=0596.090-0607.330 | phải và hết ranh thửa đất số 567, tờ BĐĐC số 37 về bên trái, xã Xuân
P=0916 | X=0093.140-0345.610 | Y=0607.610-0619.050 | 23 Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0916 | X=0460.490-0477.130 | Y=0609.730-0619.050 | 330
P=0916 | X=0505.390-0522.030 | Y=0609.730-0619.050 | 200
P=0916 | X=0107.570-0338.650 | Y=0625.150-0636.390 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0916 | X=0107.570-0384.740 | Y=0642.670-0653.910 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0916 | X=0107.570-0417.760 | Y=0660.430-0671.670 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường lô 13 đoạn từ
P=0916 | X=0107.570-0417.340 | Y=0671.950-0683.190 | Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ BĐĐC số 37 về bên
P=0916 | X=0093.140-0104.260 | Y=0679.590-0688.910 | 24
P=0916 | X=0460.490-0477.130 | Y=0679.590-0688.910 | 260
P=0916 | X=0505.390-0522.030 | Y=0679.590-0688.910 | 150
P=0916 | X=0107.570-0417.060 | Y=0683.470-0694.710 | phải và hết ranh thửa đất số 567, tờ BĐĐC số 37 về bên trái, xã Xuân
P=0916 | X=0107.570-0345.610 | Y=0694.750-0705.990 | Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0917 | X=0107.570-0339.120 | Y=0078.500-0089.740 | - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0917 | X=0107.570-0413.990 | Y=0096.020-0107.260 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0917 | X=0107.570-0149.250 | Y=0107.540-0118.780 | ≤1.000m.
P=0917 | X=0107.570-0330.740 | Y=0125.090-0136.330 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0917 | X=0107.570-0417.760 | Y=0142.850-0154.090 | Các tuyến đường giao thông đấu nối trực tiếp ra Đường lô 13 đoạn từ
P=0917 | X=0107.570-0417.340 | Y=0154.370-0165.610 | Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ BĐĐC số 37 về bên
P=0917 | X=0107.570-0417.060 | Y=0165.650-0176.890 | phải và hết ranh thửa đất số 567, tờ BĐĐC số 37 về bên trái, xã Xuân
P=0917 | X=0093.140-0345.610 | Y=0177.170-0188.610 | 25 Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0917 | X=0460.490-0477.130 | Y=0179.290-0188.610 | 180
P=0917 | X=0505.390-0522.030 | Y=0179.290-0188.610 | 110
P=0917 | X=0107.570-0393.360 | Y=0194.690-0205.930 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0917 | X=0107.570-0331.210 | Y=0212.230-0223.470 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0917 | X=0107.570-0427.180 | Y=0229.990-0241.230 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0917 | X=0107.570-0419.020 | Y=0241.510-0252.750 | lô 13 đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ BĐĐC
P=0917 | X=0107.570-0418.540 | Y=0253.030-0264.270 | số 37 về bên phải và hết ranh thửa đất số 567, tờ BĐĐC số 37 về bên
P=0917 | X=0093.140-0404.430 | Y=0264.550-0275.990 | 26 trái, xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0917 | X=0460.490-0477.130 | Y=0266.670-0275.990 | 330
P=0917 | X=0505.390-0522.030 | Y=0266.670-0275.990 | 200
P=0917 | X=0107.570-0338.650 | Y=0282.100-0293.340 | - Có bề rộng ≥5m, cách đường giao thông ≤1.000m.
P=0917 | X=0107.570-0384.740 | Y=0299.620-0310.860 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông ≤500m.
P=0917 | X=0107.570-0427.180 | Y=0317.380-0328.620 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0917 | X=0107.570-0419.020 | Y=0328.900-0340.140 | lô 13 đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ BĐĐC
P=0917 | X=0107.570-0418.540 | Y=0340.420-0351.660 | số 37 về bên phải và hết ranh thửa đất số 567, tờ BĐĐC số 37 về bên
P=0917 | X=0107.570-0404.430 | Y=0351.700-0362.940 | trái, xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0917 | X=0093.140-0339.120 | Y=0368.480-0380.480 | 27 - Có bề rộng ≥5m, cách đường giao thông >1.000m.
P=0917 | X=0460.490-0477.130 | Y=0368.480-0377.800 | 260
P=0917 | X=0505.390-0522.030 | Y=0368.480-0377.800 | 150
P=0917 | X=0107.570-0413.990 | Y=0386.760-0398.000 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông từ >500m đến
P=0917 | X=0107.570-0149.250 | Y=0398.280-0409.520 | ≤1.000m.
P=0917 | X=0107.570-0330.740 | Y=0415.800-0427.040 | - Có bề rộng <3m, cách đường giao thông ≤200m.
P=0917 | X=0107.570-0427.180 | Y=0433.560-0444.800 | Các tuyến đường giao thông không đấu nối trực tiếp và thông ra Đường
P=0917 | X=0107.570-0419.020 | Y=0445.080-0456.320 | lô 13 đoạn từ Đường tỉnh 766 đến Hết ranh thửa đất số 535, tờ BĐĐC
P=0917 | X=0107.570-0418.540 | Y=0456.620-0467.860 | số 37 về bên phải và hết ranh thửa đất số 567, tờ BĐĐC số 37 về bên
P=0917 | X=0093.140-0404.430 | Y=0468.140-0479.580 | 28 trái, xã Xuân Thành có hiện trạng là đường nhựa, bê tông xi măng:
P=0917 | X=0460.490-0477.130 | Y=0470.260-0479.580 | 180
P=0917 | X=0505.390-0522.030 | Y=0470.260-0479.580 | 110
P=0917 | X=0107.570-0393.360 | Y=0485.660-0496.900 | - Có bề rộng từ ≥3m đến <5m, cách đường giao thông >1.000m.
P=0917 | X=0107.570-0331.210 | Y=0503.180-0514.420 | - Có bề rộng <3m, cách đường giao thông >200m.
P=0917 | X=0330.360-0422.140 | Y=0520.940-0532.180 | Hết ranh thửa đất số
P=0917 | X=0330.360-0425.980 | Y=0532.220-0543.460 | 199, tờ BĐĐC số 177
P=0917 | X=0330.360-0425.740 | Y=0545.650-0554.970 | (xã Xuân Lộc) về bên
P=0917 | X=0107.570-0236.110 | Y=0549.530-0560.770 | Đường Xuân Thành đi Trảng
P=0917 | X=0240.580-0310.750 | Y=0555.290-0566.530 | Đường tỉnh 766
P=0917 | X=0093.140-0104.260 | Y=0557.170-0566.490 | 29
P=0917 | X=0330.360-0425.770 | Y=0557.170-0566.490 | phải và hết ranh thửa
